node_id,x_coord,y_coord,macro_node_id,macro_link_id,in_out,layer_id,split,node_type,modes,geometry,name,osm_node_id,ctrl_type,is_boundary,activity_type,poi_id,zone_id,notes,parent_node_id
147,139.64648745712668,35.699628122118206,137,235,in,0,,intersection_in,vehicle,POINT (139.64648745712668 35.699628122118206),,440092672,,0.0,service,,,,137.0
148,139.64649221335017,35.69962442757032,137,7640,out,0,,intersection_out,vehicle,POINT (139.64649221335017 35.69962442757032),,440092672,,0.0,service,,,,137.0
149,139.64649413004173,35.69962450572602,137,7640,in,0,,intersection_in,vehicle,POINT (139.64649413004173 35.69962450572602),,440092672,,0.0,service,,,,137.0
150,139.6461586407951,35.69962841250654,138,235,out,0,,intersection_out,vehicle,POINT (139.6461586407951 35.69962841250654),,440092673,,0.0,unclassified,,,,138.0
151,139.64615864286964,35.69962997789684,138,235,in,0,,intersection_in,vehicle,POINT (139.64615864286964 35.69962997789684),,440092673,,0.0,unclassified,,,,138.0
152,139.64615233939847,35.699624747636186,138,246,out,0,,intersection_out,vehicle,POINT (139.64615233939847 35.699624747636186),,440092673,,0.0,unclassified,,,,138.0
153,139.64615425816703,35.69962477605189,138,246,in,0,,intersection_in,vehicle,POINT (139.64615425816703 35.69962477605189),,440092673,,0.0,unclassified,,,,138.0
154,139.64615413834755,35.69963364190109,138,241,out,0,,intersection_out,vehicle,POINT (139.64615413834755 35.69963364190109),,440092673,,0.0,unclassified,,,,138.0
155,139.64615221927713,35.69963363580628,138,241,in,0,,intersection_in,vehicle,POINT (139.64615221927713 35.69963363580628),,440092673,,0.0,unclassified,,,,138.0
156,139.6461690641997,35.700037787819625,139,238,out,0,,intersection_out,vehicle,POINT (139.6461690641997 35.700037787819625),,440092769,,0.0,unclassified,,,,139.0
157,139.64616714814485,35.70003787589229,139,238,in,0,,intersection_in,vehicle,POINT (139.64616714814485 35.70003787589229),,440092769,,0.0,unclassified,,,,139.0
158,139.64616655328638,35.70002900885278,139,244,out,0,,intersection_out,vehicle,POINT (139.64616655328638 35.70002900885278),,440092769,,0.0,unclassified,,,,139.0
159,139.64616846968178,35.70002892585909,139,244,in,0,,intersection_in,vehicle,POINT (139.64616846968178 35.70002892585909),,440092769,,0.0,unclassified,,,,139.0
160,139.64617317587025,35.70003235711763,139,7618,out,0,,intersection_out,vehicle,POINT (139.64617317587025 35.70003235711763),,440092769,,0.0,unclassified,,,,139.0
161,139.64617328894658,35.70003391978905,139,7618,in,0,,intersection_in,vehicle,POINT (139.64617328894658 35.70003391978905),,440092769,,0.0,unclassified,,,,139.0
162,139.64618653579527,35.700318512180665,140,238,out,0,,intersection_out,vehicle,POINT (139.64618653579527 35.700318512180665),,1173913740,,0.0,unclassified,,,,140.0
163,139.64618845185686,35.70031842410785,140,238,in,0,,intersection_in,vehicle,POINT (139.64618845185686 35.70031842410785),,1173913740,,0.0,unclassified,,,,140.0
164,139.64618249494123,35.70032416133599,140,808,out,0,,intersection_out,vehicle,POINT (139.64618249494123 35.70032416133599),,1173913740,,0.0,unclassified,,,,140.0
165,139.64618228599494,35.70032260525087,140,808,in,0,,intersection_in,vehicle,POINT (139.64618228599494 35.70032260525087),,1173913740,,0.0,unclassified,,,,140.0
166,139.64619305968236,35.70032151799788,140,827,out,0,,intersection_out,vehicle,POINT (139.64619305968236 35.70032151799788),,1173913740,,0.0,unclassified,,,,140.0
167,139.64619332196082,35.70032306870087,140,827,in,0,,intersection_in,vehicle,POINT (139.64619332196082 35.70032306870087),,1173913740,,0.0,unclassified,,,,140.0
168,139.64618967631412,35.70032713956722,140,7629,out,0,,intersection_out,vehicle,POINT (139.64618967631412 35.70032713956722),,1173913740,,0.0,unclassified,,,,140.0
169,139.64618778550005,35.70032740734836,140,7629,in,0,,intersection_in,vehicle,POINT (139.64618778550005 35.70032740734836),,1173913740,,0.0,unclassified,,,,140.0
